max_population,selection_strategy,num_of_crossovers_per_generation,mutation_probability,problem_difficulty,runs,average_time(success),success_rate
5,fitness_proportionate_selection,1,0.05,hard,50,1.0522751777777255,90.0
5,fitness_proportionate_selection,1,0.1,easy,50,0.18691763999984687,100.0
5,fitness_proportionate_selection,1,0.1,hard,50,0.8424780000000004,98.0
5,fitness_proportionate_selection,1,0.2,easy,50,0.10342722448980826,98.0
5,fitness_proportionate_selection,1,0.2,hard,50,0.8942441632652287,98.0
5,fitness_proportionate_selection,1,0.3,easy,50,0.13590930000013032,100.0
5,fitness_proportionate_selection,1,0.3,hard,50,0.8768524791666247,96.0
5,fitness_proportionate_selection,1,0.4,easy,50,0.09412999999989552,100.0
5,fitness_proportionate_selection,1,0.4,hard,50,1.6169980624999123,96.0
5,fitness_proportionate_selection,1,0.5,easy,50,0.12807471999989503,100.0
5,fitness_proportionate_selection,1,0.5,hard,50,2.1145815869566555,92.0
5,fitness_proportionate_selection,1,0.6,easy,50,0.1407966599999054,100.0
5,fitness_proportionate_selection,1,0.6,hard,50,3.7375601428573235,98.0
5,fitness_proportionate_selection,1,0.7,easy,50,0.2610005510203856,98.0
5,fitness_proportionate_selection,1,0.7,hard,50,3.6533640555557616,72.0
5,fitness_proportionate_selection,1,0.8,easy,50,0.2770731600000363,100.0
5,fitness_proportionate_selection,1,0.8,hard,50,4.145261962962885,54.0
5,fitness_proportionate_selection,2,0.01,easy,50,0.47929115555553936,90.0
5,fitness_proportionate_selection,2,0.01,hard,50,1.4771491578947844,38.0
5,fitness_proportionate_selection,2,0.05,easy,50,0.2331725624998929,96.0
5,fitness_proportionate_selection,2,0.05,hard,50,1.0571492619048426,84.0
5,fitness_proportionate_selection,2,0.1,easy,50,0.1076433061224801,98.0
5,fitness_proportionate_selection,2,0.1,hard,50,0.814623020408121,98.0
5,fitness_proportionate_selection,2,0.2,easy,50,0.30258702040822644,98.0
5,fitness_proportionate_selection,2,0.2,hard,50,0.595030081632493,98.0
5,fitness_proportionate_selection,2,0.3,easy,50,0.060034099999866156,100.0
5,fitness_proportionate_selection,2,0.3,hard,50,0.43208544897952006,98.0
